id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
958,Serviced apartment in San Francisco · ★4.87 · 1 bedroom · 2 beds · 1 bath,1169,Holly,,Western Addition,37.77028,-122.43317,Entire home/apt,187,2,405,8/7/2023,2.36,1,150,45,City Registration Pending
5858,Rental unit in San Francisco · ★4.88 · 2 bedrooms · 2 beds · 2 baths,8904,Philip And Tania,,Bernal Heights,37.74474,-122.42089,Entire home/apt,235,30,111,8/6/2017,0.64,1,365,0,
8142,Rental unit in San Francisco · ★4.70 · 1 bedroom · 1 bed · 4 shared baths,21994,Aaron,,Haight Ashbury,37.76555,-122.45213,Private room,56,32,10,7/30/2023,0.09,15,363,2,
8339,Condo in San Francisco · ★4.87 · 1 bedroom · 1 bed · 1.5 baths,24215,Rosy,,Western Addition,37.77564,-122.43642,Entire home/apt,480,5,28,6/28/2019,0.16,2,365,0,STR-0000264
8739,Condo in San Francisco · ★4.92 · 1 bedroom · 1 bed · 1 private bath,7149,Ivan & Wendy,,Mission,37.7603,-122.42197,Private room,122,1,792,8/21/2023,4.62,2,148,39,STR-0000028
10537,Place to stay in San Francisco · ★4.94 · 1 bedroom · 1 bed · 1.5 shared baths,36752,Teresa,,Bayview,37.7175,-122.39698,Private room,95,1,20,6/12/2023,0.12,2,359,2,2022-011003STR
10578,Rental unit in San Francisco · ★4.93 · Studio · 1 bed · 1 bath,37049,Andrew,,Nob Hill,37.79249,-122.41499,Entire home/apt,100,30,18,5/17/2015,0.13,1,255,0,
12041,Rental unit in San Francisco · ★4.0 · 1 bedroom · 2 beds · 3 shared baths,21994,Aaron,,Haight Ashbury,37.76901,-122.44701,Private room,65,32,7,6/11/2022,0.05,15,365,0,
12042,Rental unit in San Francisco · ★3.20 · 1 bedroom · 2 beds · 3 shared baths,21994,Aaron,,Haight Ashbury,37.76932,-122.44723,Private room,65,32,5,10/18/2015,0.04,15,365,0,
12522,Rental unit in San Francisco · ★4.93 · 1 bedroom · 1 bed · 1.5 shared baths,18431,Brenda,,Castro/Upper Market,37.76237,-122.42992,Private room,99,3,460,8/16/2023,2.77,1,21,25,STR-0000057
18231,Rental unit in San Francisco · ★4.84 · Studio · 2 beds · 1 bath,70224,Arlene Helfand,,Noe Valley,37.74916,-122.42971,Entire home/apt,95,30,70,8/13/2023,0.43,1,153,1,
18904,Home in San Francisco · ★4.88 · 1 bedroom · 1 bed · 1 private bath,72464,Patrick,,Western Addition,37.77247,-122.43301,Private room,128,2,463,8/16/2023,3.24,1,20,35,STR-0000094
21334,Loft in San Francisco · ★4.88 · 1 bedroom · 1 bed · 1 bath,81455,Joe,,Nob Hill,37.7962,-122.41562,Entire home/apt,169,30,125,8/1/2023,0.77,1,365,1,City registration pending
23611,Condo in San Francisco · ★4.89 · 1 bedroom · 1 bed · 1 bath,18732,Cecilia,,Bernal Heights,37.74516736,-122.4122654,Entire home/apt,234,5,261,9/25/2022,1.6,2,11,2,STR-0004198
24463,Condo in San Francisco · ★4.90 · 1 bedroom · 1 bed · 1 private bath,99128,Cathryn,,Potrero Hill,37.75565,-122.40125,Private room,167,2,369,8/19/2023,2.29,2,341,32,STR-0000036
24723,Guest suite in San Francisco · ★4.85 · 1 bedroom · 1 bed · 1 bath,100800,Cynthia,,Pacific Heights,37.78897,-122.43376,Entire home/apt,199,5,430,8/31/2023,2.64,2,43,45,Pending Application
25094,Home in San Francisco · ★4.97 · 1 bedroom · 1 bed · 1 shared bath,103339,Bruce,,Glen Park,37.74159,-122.43159,Private room,165,5,67,8/13/2023,0.76,1,340,11,STR-0002528
26488,Rental unit in San Francisco · ★4.86 · 1 bedroom · 1 bed · 0 baths,112300,Micheal,,Financial District,37.79146,-122.3932,Entire home/apt,1000,360,48,6/21/2012,0.3,1,365,0,
27028,Condo in San Francisco · ★4.78 · 1 bedroom · 2 beds · 1 private bath,7149,Ivan & Wendy,,Mission,37.76005,-122.42208,Private room,164,1,27,3/6/2023,0.27,2,0,1,STR-0000028
29373,Home in San Francisco · ★4.90 · 2 bedrooms · 2 beds · 2 baths,126263,Cecilia,,Bernal Heights,37.73871,-122.41167,Entire home/apt,190,4,22,7/27/2023,0.15,2,79,4,STR-0000280
29557,Rental unit in San Francisco · ★4.97 · 1 bedroom · 2 beds · 1 bath,126036,Gigi,,Outer Richmond,37.77885,-122.50534,Entire home/apt,200,2,124,8/14/2023,0.78,1,299,18,STR-0001135
32414,Rental unit in San Francisco · ★4.81 · 2 bedrooms · 2 beds · 1 bath,140251,Lisa,,Bernal Heights,37.74038,-122.41327,Entire home/apt,150,30,94,9/29/2019,0.59,1,241,0,City registration pending
33578,Home in San Francisco · ★4.95 · 1 bedroom · 1 bed · 1 bath,145258,Kepa,,Potrero Hill,37.76451,-122.39643,Entire home/apt,290,1,735,8/31/2023,4.66,2,335,47,STR-0000073
38935,Rental unit in San Francisco · ★4.98 · 1 bedroom · 1 bed · 1 private bath,167046,Nani,,Mission,37.7493,-122.41965,Private room,120,3,44,6/25/2023,0.28,2,17,3,2023-004141STR
39418,Rental unit in San Francisco · ★4.92 · Studio · 1 bed · 1 bath,169184,Therese And Nelson,,Bernal Heights,37.741,-122.42018,Entire home/apt,80,30,26,1/28/2023,0.18,2,305,1,
40092,Rental unit in San Francisco · ★4.63 · 2 bedrooms · 1 bed · 1 bath,172182,Brian & Leah,,Mission,37.7617,-122.41887,Entire home/apt,117,30,106,8/2/2023,0.67,2,173,2,
41055,Home in San Francisco · ★4.78 · 1 bedroom · 1 bed · 1 bath,178043,Chas,,Castro/Upper Market,37.76123,-122.43326,Entire home/apt,140,4,83,4/9/2023,0.52,1,6,16,City Registration Pending
41172,Home in San Francisco · ★4.91 · 1 bedroom · 1 bed · 1 private bath,53314,Sue,,Bernal Heights,37.74132,-122.41818,Private room,115,30,300,1/6/2023,1.89,1,327,7,Pending Application
41423,Cottage in San Francisco · ★4.47 · Studio · 1 bed · 1 bath,180715,Dana,,Glen Park,37.7369,-122.43451,Entire home/apt,133,30,157,8/13/2023,0.99,1,365,3,30 Day Minimum Stay Required
41609,Condo in San Francisco · ★4.97 · 1 bedroom · 2 beds · 1 bath,54299,Peter,,Downtown/Civic Center,37.78887,-122.41306,Entire home/apt,165,30,29,8/12/2023,0.19,1,329,3,
44032,Rental unit in San Francisco · ★4.84 · 1 bedroom · 1 bed · 1 bath,98733,David + Tina,,Mission,37.75158,-122.41158,Entire home/apt,105,30,302,8/27/2023,1.9,1,57,6,
